Clus_Db,Venue Category_x,Venue
4,Noodle House,181
4,Thai Restaurant,176
4,Coffee Shop,125
4,Hotel,88
4,Chinese Restaurant,72
4,Café,66
4,Convenience Store,56
4,Asian Restaurant,54
4,Bar,47
4,Dessert Shop,47
4,Som Tum Restaurant,41
4,Seafood Restaurant,39
4,Japanese Restaurant,35
4,BBQ Joint,29
4,Hotpot Restaurant,29
4,Hostel,26
4,Steakhouse,26
4,Restaurant,25
4,Spa,25
4,Ice Cream Shop,24
4,Shopping Mall,23
4,Bakery,22
4,Massage Studio,20
4,Pub,18
4,Hotel Bar,16
4,Park,15
4,Cocktail Bar,14
4,Supermarket,14
4,Breakfast Spot,13
4,Sushi Restaurant,13
4,Train Station,13
4,Art Gallery,12
4,Clothing Store,11
4,Fast Food Restaurant,11
4,Gym / Fitness Center,11
4,Museum,11
4,Vietnamese Restaurant,11
4,Burger Joint,10
4,Palace,10
4,Vegetarian / Vegan Restaurant,10
4,Bistro,9
4,Flea Market,9
4,Food Court,9
4,Italian Restaurant,9
4,Korean Restaurant,9
4,Market,9
4,Badminton Court,8
4,Department Store,8
4,Farmers Market,8
4,Fried Chicken Joint,8
4,Shabu-Shabu Restaurant,8
4,Tea Room,8
4,Dim Sum Restaurant,7
4,Halal Restaurant,7
4,History Museum,7
4,Jazz Club,7
4,Multiplex,7
4,Pizza Place,7
4,Snack Place,7
4,Bed & Breakfast,6
4,French Restaurant,6
4,Ramen Restaurant,6
4,Bookstore,5
4,Dance Studio,5
4,Food Truck,5
4,Historic Site,5
4,Night Market,5
4,Pet Café,5
4,Sports Club,5
4,Whisky Bar,5
4,Beer Bar,4
4,Brewery,4
4,Bubble Tea Shop,4
4,Diner,4
4,Electronics Store,4
4,Indian Restaurant,4
4,Motorcycle Shop,4
4,Nightclub,4
4,Other Nightlife,4
4,Performing Arts Venue,4
4,Salad Place,4
4,Art Museum,3
4,Beer Garden,3
4,Cantonese Restaurant,3
4,Furniture / Home Store,3
4,Grocery Store,3
4,Japanese Curry Restaurant,3
4,Library,3
4,Nail Salon,3
4,Paper / Office Supplies Store,3
4,Pet Store,3
4,Plaza,3
4,Resort,3
4,Shrine,3
4,Soccer Field,3
4,Soup Place,3
4,Theater,3
4,Tour Provider,3
4,Yoga Studio,3
4,Boutique,2
4,Buddhist Temple,2
4,Butcher,2
4,Donut Shop,2
4,Factory,2
4,Farm,2
4,Food & Drink Shop,2
4,German Restaurant,2
4,Indie Movie Theater,2
4,Lounge,2
4,Movie Theater,2
4,Photography Studio,2
4,Residential Building (Apartment / Condo),2
4,Roof Deck,2
4,Satay Restaurant,2
4,Shoe Store,2
4,Spiritual Center,2
4,Takoyaki Place,2
4,Tonkatsu Restaurant,2
4,American Restaurant,1
4,Arcade,1
4,Big Box Store,1
4,Bike Rental / Bike Share,1
4,Boat or Ferry,1
4,Bridal Shop,1
4,Buffet,1
4,Camera Store,1
4,Comic Shop,1
4,Concert Hall,1
4,Convention Center,1
4,Donburi Restaurant,1
4,Flower Shop,1
4,Garden Center,1
4,Gay Bar,1
4,Gift Shop,1
4,Gourmet Shop,1
4,Government Building,1
4,Gun Range,1
4,Gym,1
4,Hainan Restaurant,1
4,Hardware Store,1
4,Hotel Pool,1
4,Intersection,1
4,Irish Pub,1
4,Israeli Restaurant,1
4,Jewelry Store,1
4,Mediterranean Restaurant,1
4,Mexican Restaurant,1
4,Miscellaneous Shop,1
4,Mobile Phone Shop,1
