,District,Venue,Venue Category,Venue Latitude,Venue Longitude
0,Bang Kapi,ตลาดนัดแฟลตคลองจั่น,Flea Market,13.770105448298283,100.6491237635745
1,Bang Kapi,ข้าวแกงปักษ์ใต้ แม่ยาใจ,Thai Restaurant,13.77082159577988,100.64862778236524
2,Bang Kapi,Farm Design (ฟาร์มดีไซน์),Dessert Shop,13.767466374337083,100.64205152612568
3,Bang Kapi,ฮั่วเซ่งฮง (和成豐),Chinese Restaurant,13.765880239760733,100.64183535638115
4,Bang Kapi,ซ้งโภชนา ลูกชิ้นปลาทำเอง,Noodle House,13.761781808005477,100.64801004775687
5,Bang Kapi,Burger King (เบอร์เกอร์ คิง),Fast Food Restaurant,13.767082878594593,100.64300094374337
6,Bang Kapi,Starbucks (สตาร์บัคส์),Coffee Shop,13.767339430556717,100.6421364879654
7,Bang Kapi,H&M,Clothing Store,13.765971650347321,100.64247094094755
8,Bang Kapi,The Mall Bangkapi (เดอะมอลล์ บางกะปิ),Shopping Mall,13.766343053793804,100.64236418452622
9,Bang Kapi,UNIQLO (ยูนิโคล่) ユニクロ,Clothing Store,13.767216684171144,100.64271718667091
10,Bang Kapi,บ้านญวน ครัวเวียดนาม,Vietnamese Restaurant,13.764343307067051,100.65272278879637
11,Bang Kapi,ร้านข้าวแกงครัวปักษ์ใต้คลองจั่น,Thai Restaurant,13.770482117516332,100.64863847652809
12,Bang Kapi,Baan Suan Massage (บ้านสวนมาสสาจ),Massage Studio,13.765411515558778,100.65119246035142
13,Bang Kapi,Suan Son (สวนสน),Park,13.762939676580062,100.64889465674915
14,Bang Kapi,TrueCoffee (ทรูคอฟฟี่),Coffee Shop,13.767280392393051,100.64248794868715
15,Bang Kapi,RABIKA Coffee,Coffee Shop,13.770871948161025,100.64713303296053
16,Bang Kapi,After You (อาฟเตอร์ ยู),Dessert Shop,13.766120681554108,100.64182537778694
17,Bang Kapi,ส้มตำปากหมา (อีสานพัฒนา),Som Tum Restaurant,13.761857743910575,100.65004426509996
18,Bang Kapi,Sizzler (ซิซซ์เลอร์),Steakhouse,13.766945177261887,100.64194002252107
19,Bang Kapi,Fuji (ฟูจิ),Japanese Restaurant,13.767323713017078,100.64201322621498
20,Bang Kapi,Fantasia Lagoon (แฟนตาเซีย ลากูน),Water Park,13.766519316478693,100.64254059545704
21,Bang Kapi,Santa Fé Steak (ซานตา เฟ่ สเต็ก),Steakhouse,13.766487255625043,100.64256370231384
22,Bang Kapi,Starbucks (สตาร์บัคส์),Coffee Shop,13.766454911650891,100.6425326647028
